location_id,weather_id,time_id,vehicle_count,avg_speed,accident,congestion,traffic_level
1,1,1,18,48.53,0,0,Low
2,1,2,32,50.22,0,0,Low
1,2,3,22,47.81,1,1,Low
3,1,2,33,50.7,0,0,Low
2,2,4,49,37.07,0,0,Medium
1,3,5,13,73.86,0,0,Low
3,2,6,111,36.66,0,1,High
2,3,7,43,48.19,0,0,Medium
1,1,8,96,23.55,0,1,High
2,1,9,62,29.02,0,0,Medium
1,1,9,115,37.92,0,1,High
2,2,7,29,75.19,0,0,Low
2,3,10,11,40.22,0,0,Low
2,2,11,56,32.24,0,0,Medium
4,2,5,24,72.95,0,0,Low
2,3,3,57,70.45,0,0,Medium
2,3,10,15,31.68,0,0,Low
1,2,8,78,37.89,0,0,Medium
3,3,10,33,71.22,0,0,Low
4,3,7,31,73.64,1,1,Low
2,1,12,103,36.43,0,1,High
1,1,9,106,15.94,0,1,High
2,3,12,109,14.77,0,1,High
1,1,10,44,47.38,1,1,Medium
4,3,13,28,70.01,1,1,Low
3,2,3,37,50.59,0,0,Low
4,1,13,58,45.0,0,0,Medium
1,3,11,51,51.38,0,0,Medium
2,1,10,58,44.81,0,0,Medium
1,3,14,84,19.27,0,1,High
1,1,12,114,37.75,0,1,High
4,2,14,111,21.51,0,1,High
3,2,8,118,11.36,0,1,High
3,2,13,24,31.05,0,0,Low
1,1,15,17,37.31,0,0,Low
4,2,1,33,74.04,0,0,Low
2,3,11,30,71.53,0,0,Low
1,1,16,31,50.84,1,1,Low
2,2,17,21,76.47,0,0,Low
4,3,18,58,70.58,0,0,Medium
3,1,18,22,64.4,0,0,Low
3,1,2,28,36.74,0,0,Low
4,1,19,60,78.29,0,0,Medium
2,3,13,60,66.51,0,0,Medium
1,3,16,57,67.65,0,0,Medium
2,3,20,112,36.48,0,1,High
4,3,3,12,77.96,0,0,Low
3,2,10,50,52.39,0,0,Medium
3,1,11,20,49.43,0,0,Low
1,3,18,44,42.61,0,0,Medium
1,2,18,26,51.44,0,0,Low
1,2,3,30,75.78,0,0,Low
2,1,10,48,51.12,0,0,Medium
1,2,11,25,53.74,0,0,Low
3,1,5,12,49.68,0,0,Low
4,1,2,37,35.46,0,0,Low
3,1,19,36,47.57,0,0,Low
1,2,2,13,57.21,0,0,Low
4,3,21,84,38.25,0,1,High
1,2,22,53,55.23,0,0,Medium
1,2,9,61,21.67,1,1,Medium
3,3,9,117,16.19,0,1,High
2,3,23,44,55.11,0,0,Medium
2,1,22,13,65.9,0,0,Low
2,3,9,95,36.23,0,1,High
